DAY 13 - RATIO EDGE CASES
============================================================
BEL Mar 2016 ROCE Difference = 3730.26 (Source=34.6, Engine=3764.86) | Category: Formula discrepancy
BEL Mar 2017 ROE Difference = 10127.03 (Source=26.3, Engine=10153.33) | Category: Formula discrepancy
BEL Mar 2017 ROCE Difference = 4038.13 (Source=34.6, Engine=4072.73) | Category: Formula discrepancy
BEL Mar 2018 ROE Difference = 4589.83 (Source=26.3, Engine=4616.13) | Category: Formula discrepancy
BEL Mar 2018 ROCE Difference = 2546.41 (Source=34.6, Engine=2581.01) | Category: Formula discrepancy
BEL Mar 2019 ROE Difference = 3824.72 (Source=26.3, Engine=3851.02) | Category: Formula discrepancy
BEL Mar 2019 ROCE Difference = 2995.61 (Source=34.6, Engine=3030.21) | Category: Formula discrepancy
BEL Mar 2020 ROE Difference = 3291.88 (Source=26.3, Engine=3318.18) | Category: Formula discrepancy
BEL Mar 2020 ROCE Difference = 2752.27 (Source=34.6, Engine=2786.87) | Category: Formula discrepancy
BEL Mar 2021 ROE Difference = 3533.02 (Source=26.3, Engine=3559.32) | Category: Formula discrepancy
BEL Mar 2021 ROCE Difference = 2941.33 (Source=34.6, Engine=2975.93) | Category: Formula discrepancy
BEL Mar 2022 ROE Difference = 3451.96 (Source=26.3, Engine=3478.26) | Category: Formula discrepancy
BEL Mar 2022 ROCE Difference = 2598.47 (Source=34.6, Engine=2633.07) | Category: Formula discrepancy
BEL Mar 2023 ROE Difference = 3955.03 (Source=26.3, Engine=3981.33) | Category: Formula discrepancy
BEL Mar 2023 ROCE Difference = 3553.12 (Source=34.6, Engine=3587.72) | Category: Formula discrepancy
BEL Mar 2024 ROE Difference = 4717.75 (Source=26.3, Engine=4744.05) | Category: Formula discrepancy
BEL Mar 2024 ROCE Difference = 3942.57 (Source=34.6, Engine=3977.17) | Category: Formula discrepancy
BHEL Mar 2013 ROE Difference = 20.86 (Source=1.05, Engine=21.91) | Category: Source data issue
BHEL Mar 2013 ROCE Difference = 25.24 (Source=3.28, Engine=28.52) | Category: Source data issue
BHEL Mar 2014 ROE Difference = 9.51 (Source=1.05, Engine=10.56) | Category: Source data issue
BHEL Mar 2014 ROCE Difference = 8.81 (Source=3.28, Engine=12.09) | Category: Source data issue
BHEL Mar 2016 ROCE Difference = 7.45 (Source=3.28, Engine=-4.17) | Category: Source data issue
